Time,Price,5-Day EMA,KNN MA,Highlight
127,363.39999389648,363.53357874226316,363.599938964844,Red
128,363.23999023438,363.4357159063021,363.605938720702,Red
129,363.30999755859,363.39380979039805,363.517938232422,Red
130,363.44000244141,363.40920734073535,363.427935791016,Red
131,362.86999511719,363.2294699328869,363.3659973144539,Red
132,362.58499145508,363.01464377361793,363.25199584960995,Red
133,362.45001220703,362.826433251422,363.08899536133,Red
134,362.82000732422,362.824291275688,362.93099975586,Red
135,362.91500854492,362.85453036543197,362.833001708986,Green
136,363.16989135742,362.9596506960946,362.72800292968805,Green
137,363.16000366211,363.02643501809973,362.787982177734,Green
138,363.0299987793,363.0276229384998,362.90298461914006,Green
139,363.21011352539,363.08845313412985,363.01898193359403,Green
140,363.05999755859,363.0789679422832,363.097003173828,Red
141,363.09658813477,363.0848413397788,363.12600097656195,Red
142,362.92001342773,363.0298987024292,363.111340332032,Red
143,363.30990600586,363.1232344702395,363.06334228515595,Green
144,363.42001342773,363.222160789403,363.119323730468,Green
145,363.32998657227,363.25810271702534,363.16130371093607,Green
146,363.29998779297,363.2720644090069,363.215301513672,Green
147,363.16220092773,363.23544324858125,363.25598144531193,Red
148,363.05999755859,363.1769613519175,363.304418945312,Red
149,363.30999755859,363.22130675414166,363.254437255858,Red
150,363.375,363.27253783609444,363.23243408203007,Green
151,363.27499389648,363.2733565228896,363.24143676757603,Green
152,362.95001220703,363.16557508426973,363.236437988278,Red
153,363.35998535156,363.2303785066998,363.194000244138,Green
154,363.48001098633,363.3135893332432,363.253997802732,Green
155,363.85000610352,363.4923949233355,363.28800048828003,Green
156,367.7799987793,364.921596208657,363.38300170898395,Green
157,367.94000244141,365.9277316195747,364.284002685548,Green
158,368.65591430664,366.83712584859643,365.28200073242397,Green
159,369.32998657227,367.66807942315427,366.34118652344,Green
160,369.03509521484,368.12375135371616,367.511181640628,Green
161,369.04998779297,368.43249683346744,368.548199462892,Red
162,369.26998901367,368.71166089353494,368.802197265626,Red
163,369.20001220703,368.8744446647,369.06819458007806,Red
164,369.54998779297,369.09962570745665,369.177014160156,Red
165,370.14999389648,369.4497484371311,369.22101440429606,Green
166,369.80999755859,369.5698314776174,369.44399414062406,Green
167,369.94989013672,369.69651769731826,369.595996093748,Green
168,370.11999511719,369.8376768372755,369.731976318358,Green
169,369.92999267578,369.8684487834437,369.91597290039005,Red
170,369.79098510742,369.84262755810244,369.99197387695204,Red
171,369.48999023438,369.7250817835283,369.92017211914,Red
172,369.7799987793,369.74338744878554,369.856170654298,Red
173,369.4700012207,369.6522587060904,369.822192382814,Red
174,369.51998901367,369.60816880861694,369.692193603516,Red
175,369.82998657227,369.68210806316796,369.610192871094,Green
176,369.88000488281,369.7480736697153,369.617993164064,Green
177,369.8125,369.76954911314357,369.69599609375,Green
178,369.70001220703,369.746370144439,369.70249633789,Green
179,369.35989379883,369.61754469590267,369.748498535156,Red
180,369.04501342773,369.4267009398451,369.71647949218794,Red
181,368.84799194336,369.23379794101675,369.55948486328003,Red
182,368.55999755859,369.00919781354116,369.35308227539,Red
183,368.73001098633,368.9161355378041,369.102581787108,Red
184,368.60998535156,368.8140854757227,368.908581542968,Red
185,368.9700012207,368.8660573907151,368.758599853514,Green
186,369.20001220703,368.97737566282007,368.743597412108,Green
187,368.8450012207,368.93325084878006,368.814001464842,Green
188,368.98999023438,368.9521639773134,368.871002197264,Green
189,369.14999389648,369.01810728370225,368.922998046874,Green
190,369.35998535156,369.13206663965485,369.03099975585803,Green
191,369.38000488281,369.2147127207066,369.10899658203004,Green
192,369.50500488281,369.31147677474104,369.144995117186,Green
193,369.5950012207,369.40598492339404,369.276995849608,Green
194,369.625,369.4789899489294,369.397998046872,Green
195,369.82000732422,369.59266240735957,369.492999267576,Green
196,369.92001342773,369.7017794141497,369.585003662108,Green
197,370.01000976562,369.8045228646398,369.693005371092,Green
198,369.76501464844,369.7913534592399,369.79400634765403,Red
199,369.92001342773,369.83424011540325,369.82800903320197,Green
200,369.89010620117,369.8528621439922,369.887011718748,Red
201,369.76000976562,369.82191135120144,369.901031494138,Red
202,369.75,369.79794090080094,369.86903076171603,Red
203,369.76000976562,369.78529718907396,369.817028808592,Red
204,370.05999755859,369.87686397891264,369.816027832028,Green
205,369.80999755859,369.8545751721384,369.84402465820006,Green
206,369.85000610352,369.85305214926564,369.82800292968403,Green
207,370.05999755859,369.92203395237374,369.84600219726406,Green
208,369.89001464844,369.9113608510625,369.908001708982,Green
209,370.02011108398,369.9476109287017,369.93400268554603,Green
210,369.97839355469,369.95787180403113,369.926025390624,Green
211,369.86999511719,369.9285795750841,369.959704589844,Red
212,369.76998901367,369.8757160546127,369.963702392578,Red
213,369.8450012207,369.8654777766418,369.90570068359403,Red
214,369.80999755859,369.8469843706245,369.896697998046,Red
215,370.17010498047,369.954691240573,369.854675292968,Green
216,369.94000244141,369.94979497418535,369.893017578124,Green
217,370.05999755859,369.9865291689869,369.90701904296805,Green
218,369.94000244141,369.9710202597946,369.965020751952,Green
219,369.85998535156,369.9340086237164,369.98402099609405,Red
220,369.84008789062,369.9027017126843,369.994018554688,Red
221,369.80499267578,369.8701320337162,369.928015136718,Red
222,369.61999511719,369.78675306154076,369.901013183592,Red
223,369.7200012207,369.76450244792716,369.813012695312,Red
224,370.01000976562,369.8463382204914,369.76901245117,Green
225,369.95001220703,369.88089621600426,369.799017333982,Green
226,369.94000244141,369.9005982911395,369.82100219726397,Green
227,370.04998779297,369.95039479174966,369.84800415039,Green
228,370.01998901367,369.9735928657231,369.934002685546,Green
229,370.23999023438,370.06239198860874,369.99400024414,Green
230,370.01000976562,370.0449312476125,370.039996337892,Green
231,369.91000366211,369.9999553857783,370.05199584961,Red
232,370.29998779297,370.09996618817553,370.04599609375,Green
233,369.42001342773,369.873315268027,370.09599609375,Red
234,370.2200012207,369.9888772522513,369.976000976562,Green
235,370.13000488281,370.0359197957709,369.972003173826,Green
236,370.51998901367,370.1972762017373,369.996002197264,Green
237,370.63000488281,370.34151909542817,370.117999267576,Green
238,370.48999023438,370.39100947507876,370.184002685544,Green
239,370.4700012207,370.4173400569525,370.397998046874,Green
240,370.4700012207,370.4348937782017,370.447998046874,Red
241,370.4700012207,370.44659625903444,370.51599731445197,Red
242,370.23999023438,370.3777275841496,370.50599975585794,Red
243,370.11999511719,370.29181676182975,370.427996826172,Red
244,370.36999511719,370.3178762136165,370.353997802734,Red
245,370.10791015625,370.2478875278277,370.333996582032,Red
246,369.83499145508,370.11025550357846,370.261578369142,Red
247,369.39001464844,369.8701752185323,370.134576416018,Red
248,369.38989257812,369.71008100506157,369.96458129883,Red
249,369.42929077148,369.6164842605344,369.818560791016,Red
250,369.5299987793,369.58765576678957,369.630419921874,Red
251,369.14001464844,369.438442060673,369.514837646484,Red
252,369.07998657227,369.318956897872,369.375842285156,Red
253,369.25,369.295971265248,369.313836669922,Red
254,369.39999389648,369.3306454756587,369.285858154298,Green
255,369.44000244141,369.3670977975758,369.279998779298,Green
256,369.51501464844,369.4164034145305,369.26199951172003,Green
257,369.30999755859,369.38093479588366,369.33699951171997,Green
258,369.30999755859,369.3572890501191,369.383001708984,Red
259,369.13000488281,369.28152766101607,369.39500122070206,Red
260,369.14498901367,369.2360147785674,369.34100341796795,Red
261,369.32000732422,369.2640122937849,369.28200073242,Red
262,369.39001464844,369.30601307866993,369.242999267576,Green
263,369.30621337891,369.3060798454166,369.259002685546,Green
