Timestamp: 0, Price: 362.83999633789, EMA: 0.0, KNN: 0.0
Timestamp: 29, Price: 362.91009521484, EMA: 363.34300053267526, KNN: 363.70101928711
Timestamp: 30, Price: 362.79998779297, EMA: 363.16199628610684, KNN: 363.54104003906207
Timestamp: 31, Price: 363.11380004883, EMA: 363.1459308736812, KNN: 363.18504028320206
[92mTimestamp: 32, Price: 364.01000976562, EMA: 363.4339571709941, KNN: 363.10679931640595[0m
Timestamp: 33, Price: 364.57998657227, EMA: 363.8159669714194, KNN: 363.150799560546
Timestamp: 34, Price: 364.03500366211, EMA: 363.8889792016496, KNN: 363.48277587890595
Timestamp: 35, Price: 364.37750244141, EMA: 364.05182028156975, KNN: 363.70775756836
[91mTimestamp: 36, Price: 363.83999633789, EMA: 363.98121230034315, KNN: 364.023260498048[0m
Timestamp: 37, Price: 364.26000976562, EMA: 364.07414478876876, KNN: 364.16849975585995
Timestamp: 38, Price: 364.26748657227, EMA: 364.1385920499358, KNN: 364.21849975585997
Timestamp: 39, Price: 363.54000854492, EMA: 363.93906421493057, KNN: 364.15599975585997
Timestamp: 40, Price: 363.36999511719, EMA: 363.7493745156837, KNN: 364.057000732422
Timestamp: 41, Price: 363.74969482422, EMA: 363.7494812851958, KNN: 363.855499267578
Timestamp: 42, Price: 363.23999023438, EMA: 363.5796509349239, KNN: 363.837438964844
Timestamp: 43, Price: 362.86999511719, EMA: 363.34309899567927, KNN: 363.63343505859604
Timestamp: 44, Price: 362.82000732422, EMA: 363.16873510519287, KNN: 363.35393676757997
Timestamp: 45, Price: 363.16000366211, EMA: 363.1658246241652, KNN: 363.20993652344
Timestamp: 46, Price: 363.05999755859, EMA: 363.13054893564015, KNN: 363.16793823242404
[92mTimestamp: 47, Price: 363.30990600586, EMA: 363.19033462571343, KNN: 363.02999877929796[0m
Timestamp: 48, Price: 363.29998779297, EMA: 363.2268856814656, KNN: 363.04398193359395
Timestamp: 49, Price: 363.30999755859, EMA: 363.25458964050705, KNN: 363.12998046875
[91mTimestamp: 50, Price: 362.95001220703, EMA: 363.153063829348, KNN: 363.227978515624[0m
[92mTimestamp: 51, Price: 363.85000610352, EMA: 363.3853779207387, KNN: 363.185980224608[0m
Timestamp: 52, Price: 368.65591430664, EMA: 365.14222338270577, KNN: 363.34398193359397
Timestamp: 53, Price: 369.04998779297, EMA: 366.44481151946053, KNN: 364.41318359375
Timestamp: 54, Price: 369.54998779297, EMA: 367.47987027729704, KNN: 365.56318359375
Timestamp: 55, Price: 369.94989013672, EMA: 368.303210230438, KNN: 366.811181640626
Timestamp: 56, Price: 369.79098510742, EMA: 368.79913518943204, KNN: 368.21115722656407
[91mTimestamp: 57, Price: 369.4700012207, EMA: 369.0227571998547, KNN: 369.39935302734403[0m
Timestamp: 58, Price: 369.88000488281, EMA: 369.3085064275065, KNN: 369.562170410156
Timestamp: 59, Price: 369.35989379883, EMA: 369.325635551281, KNN: 369.728173828124
Timestamp: 60, Price: 368.55999755859, EMA: 369.07042288705065, KNN: 369.69015502929597
Timestamp: 61, Price: 368.9700012207, EMA: 369.0369489982671, KNN: 369.41217651367
Timestamp: 62, Price: 368.98999023438, EMA: 369.0212960769714, KNN: 369.24797973632593
Timestamp: 63, Price: 369.38000488281, EMA: 369.1408656789176, KNN: 369.15197753906193
[92mTimestamp: 64, Price: 369.625, EMA: 369.30224378594505, KNN: 369.051977539062[0m
Timestamp: 65, Price: 370.01000976562, EMA: 369.53816577917, KNN: 369.104998779296
